N,E,density,deg_mean,deg_cv,clustering,modularity,K_louvain,size_cv,K_per_N,graph,source,k_distinct_norm
4039,88234,0.010819963503439287,43.69101262688784,1.199654400665438,0.6055467186200862,0.8348824648429318,15,0.6585008526239261,0.0037137905422134194,ego-Facebook,real,0.92
4158,13428,0.0015537345342493286,6.458874458874459,1.3357135340113262,0.5568782161697929,0.8473128322422862,39,0.6582696755787087,0.00937950937950938,ca-GrQc,real,1.0
8638,24827,0.0006655460658431931,5.748321370687659,1.124020323409611,0.4815641520261653,0.7523146920963418,51,0.8025140392897605,0.0059041444778884,ca-HepTh,real,1.0
11204,117649,0.0018746094397688842,21.001249553730812,2.2871907438652954,0.621582321925642,0.6576561946379053,44,1.760758344422108,0.003927168868261335,ca-HepPh,real,1.0
6299,20776,0.0010474122952268882,6.596602635338943,1.294774612545918,0.01087137261749504,0.46337018512296635,21,0.8325020473379673,0.003333862517859978,p2p-Gnutella08,real,1.0
8104,26008,0.0007921212805660195,6.418558736426456,1.2727645454635677,0.009538180379268953,0.46743470302916995,21,0.8095223777589231,0.0025913129318854886,p2p-Gnutella09,real,1.0
7066,100736,0.004035793145569756,28.512878573450326,2.02464956247605,0.14187491841626323,0.4177833161806959,15,1.7711905008987188,0.0021228417775261818,wiki-Vote,real,1.0
500,7920,0.06348697394789579,31.68,0.15414127761885477,0.2657904206323142,0.7374638270329559,5,0.0,0.01,SBM_pin0.3_pout0.005,sbm,0.02
500,8398,0.06731863727454909,33.592,0.14738969462912596,0.23623572713345148,0.6805475364942752,5,0.0,0.01,SBM_pin0.3_pout0.01,sbm,0.02
500,9405,0.07539078156312626,37.62,0.15382368834139723,0.19768467870427706,0.5867958919902175,5,0.0,0.01,SBM_pin0.3_pout0.02,sbm,0.02
500,5541,0.04441683366733467,22.164,0.19178744225650884,0.17293934809835426,0.7105307513698885,5,0.0,0.01,SBM_pin0.2_pout0.005,sbm,0.02
500,6024,0.04828857715430862,24.096,0.18484706956104252,0.14827573659065227,0.6333729243054343,5,0.0,0.01,SBM_pin0.2_pout0.01,sbm,0.02
500,7002,0.056128256513026054,28.008,0.18623688581631562,0.11803255845347174,0.5135716620240139,5,0.0,0.01,SBM_pin0.2_pout0.02,sbm,0.02
500,4271,0.034236472945891785,17.084,0.2191790623124174,0.12073845915883816,0.6839345641608029,5,0.0,0.01,SBM_pin0.15_pout0.005,sbm,0.02
500,4763,0.03818036072144289,19.052,0.20697352327235785,0.10082857750252248,0.5893067489711463,5,0.0,0.01,SBM_pin0.15_pout0.01,sbm,0.02
500,5735,0.04597194388777555,22.94,0.20802282421077753,0.07953185007092695,0.45088005630852324,5,0.006324555320336759,0.01,SBM_pin0.15_pout0.02,sbm,0.02
500,2981,0.023895791583166334,11.924,0.2691804574690128,0.06974229516613417,0.6335708171207539,5,0.0,0.01,SBM_pin0.1_pout0.005,sbm,0.14
500,3480,0.027895791583166334,13.92,0.2546551010773006,0.057696015748409074,0.5118997720967102,5,0.006324555320336759,0.01,SBM_pin0.1_pout0.01,sbm,0.26
500,4448,0.035655310621242484,17.792,0.23745371199357346,0.04842883987436578,0.35099870586893794,5,0.012649110640673518,0.01,SBM_pin0.1_pout0.02,sbm,0.9
500,2438,0.01954308617234469,9.752,0.30643904310706854,0.050857210436622204,0.5980665878848771,5,0.008944271909999158,0.01,SBM_pin0.08_pout0.005,sbm,0.42
500,2944,0.023599198396793586,11.776,0.2702199381635197,0.04132063065933035,0.4617197076404478,5,0.0282842712474619,0.01,SBM_pin0.08_pout0.01,sbm,0.84
500,3919,0.03141482965931864,15.676,0.2495475870360883,0.03847618298223735,0.2676180730733823,6,0.26305892875931813,0.012,SBM_pin0.08_pout0.02,sbm,1.0
500,1950,0.0156312625250501,7.8,0.34142063109495613,0.03604290774584892,0.5346571992110454,5,0.0340587727318528,0.01,SBM_pin0.06_pout0.005,sbm,1.0
