snapshot,t_start,N,E,density,deg_cv,clustering,modularity,size_cv,K_louvain,k_distinct_norm,nmi_structural_change,prediction
0,0,688,3257,0.013781693239903862,1.03742389023892,0.2916816626524783,0.5690323451560226,0.3641735347876025,10,1.0,,intermediate
1,604800,687,3293,0.013974647875369737,1.0330564860820117,0.292874137934675,0.5670996525311262,0.5430378720640567,12,1.0,0.7148869534905821,intermediate
2,1209600,702,3361,0.013659769722537197,1.047788823559019,0.306200058400147,0.5761791825851974,0.683742877261019,12,1.0,0.7503604371470288,intermediate
3,1814400,701,3455,0.014081923782351742,1.0342055676261028,0.31038536274598216,0.5842594365011383,0.5175997562921176,12,1.0,0.7670390443842166,intermediate
4,2419200,701,3484,0.014200122274302018,1.047711925666323,0.31831495758131495,0.5792745267524428,0.6607237608597528,11,1.0,0.7504193869631492,intermediate
5,3024000,716,3762,0.014697034808766652,1.0679138765884393,0.3284863979334066,0.5712882341985003,0.39693317314986176,11,1.0,0.7990352178365105,intermediate
6,3628800,712,3521,0.013910618056543245,1.0702739436583943,0.3284177965127264,0.5701369742352475,0.40620250297736055,11,1.0,0.7074274697805414,intermediate
7,4233600,701,3171,0.012924393723252497,1.0948211177624008,0.3219720272305772,0.5736485580007481,0.7010305637813617,11,1.0,0.7337087385645694,intermediate
8,4838400,695,3249,0.013472104161051561,1.1101859368029423,0.32570489724150503,0.5603607843538477,0.6026784925262889,10,1.0,0.7136696626504011,intermediate
9,5443200,677,3036,0.013267723073426971,1.0692231309083475,0.30547929521121014,0.5700670782407335,0.5790929330550268,11,1.0,0.6724694266240722,intermediate
10,6048000,673,3062,0.013541003325550131,1.0581104194213493,0.3043528979397528,0.5749812496880281,0.4752065504437752,10,1.0,0.7243005143564114,intermediate
11,6652800,689,3580,0.015104465521315016,1.0370680250766746,0.32283818154889254,0.5759927124621579,0.47887143573130503,11,1.0,0.8291692844367774,intermediate
12,7257600,691,3482,0.014606011032110573,1.0119791079200906,0.31091448630939184,0.5867844260842914,0.512298968983797,12,1.0,0.7757948855588171,intermediate
13,7862400,692,3462,0.014480145219711735,1.01467261891793,0.32581971673916327,0.5960686562800678,0.4938053903855155,12,1.0,0.8246481144015653,intermediate
14,8467200,693,3428,0.014296557649158805,1.027818251593844,0.3338825449793626,0.5929815667936099,0.25643641938735734,10,1.0,0.7659425149282386,intermediate
15,9072000,688,3427,0.014501032463356014,1.0062489475405874,0.34042110039893164,0.6020469538957909,0.5538687133694593,12,1.0,0.7656049276074182,intermediate
16,9676800,687,3421,0.014517847063965948,1.0132356202444353,0.33435363959578346,0.5970587549209659,0.5279811278531593,11,1.0,0.8146986631092099,intermediate
17,10281600,700,3446,0.014085428162681381,1.034185113889482,0.3204372720023442,0.5996344732038527,0.4446507457705269,10,1.0,0.7632086078714,intermediate
18,10886400,704,3494,0.014119681882839777,1.0553994254828174,0.305696432881977,0.5795273703321321,0.3462356133449404,9,1.0,0.7651616480191002,intermediate
19,11491200,701,3516,0.014330548196454046,1.0626833292643743,0.2921217123703014,0.5735686512235306,0.3528155129305631,10,1.0,0.7169340475200082,intermediate
20,12096000,702,3515,0.014285656225741818,1.086106013000682,0.29623808914418176,0.5684692103947925,0.40996448144697123,11,1.0,0.7690030252925183,intermediate
21,12700800,708,3551,0.014188222696361646,1.102269657051527,0.2934041597150316,0.5668484672909159,0.39065866344461386,11,1.0,0.7759256246851526,intermediate
22,13305600,711,3693,0.014631247400011886,1.1085157622321855,0.31417294118883093,0.5616174041110409,0.47628266352171716,12,1.0,0.7179787392567464,intermediate
23,13910400,697,3579,0.01475535546430515,1.0879589314508802,0.32091781899130106,0.5757446908837143,0.46503308624340584,12,1.0,0.7504072831580444,intermediate
24,14515200,693,3535,0.0147428037601448,1.1131459591472102,0.324226390278344,0.574566719149183,0.45392889767746913,11,1.0,0.7752693358145543,intermediate
25,15120000,708,3598,0.014376013872573697,1.1361528442463344,0.33317290572999414,0.5773736783544436,0.36185768086297077,10,1.0,0.7741741918400568,intermediate
26,15724800,714,3702,0.014543825945525475,1.144539301162374,0.32540894351025157,0.5659967482935181,0.5393739081772345,11,1.0,0.7352488218837038,intermediate
