mean_pairwise_nmi,K_mean,K_std,K_cv,K_range,snapshot
0.7956479420912785,11.2,0.8246211251235321,0.07362688617174394,4,0
0.8030463561464903,11.42,0.8506468127254696,0.07448746170976091,4,1
0.7934085265923695,11.78,0.9442457307290301,0.08015668342351699,4,2
0.8169725166101098,11.8,0.7483314773547883,0.06341792180972781,4,3
0.8226183866540584,12.26,0.7432361670424817,0.06062285212418285,4,4
0.8250352091725025,11.1,0.6708203932499369,0.06043426966215648,2,5
0.7880930612050103,12.2,0.6928203230275509,0.056788551067832045,2,6
0.7980825898150116,11.92,0.7440430095095311,0.062419715562880125,3,7
0.8062478549170905,11.32,0.7332121111929345,0.06477138791457018,3,8
0.8002526507927713,11.24,0.7631513611335565,0.06789602857060112,3,9
0.8076019184868966,11.28,0.8009993757800314,0.07101058295922265,3,10
0.7795106445859377,11.14,0.7748548251124207,0.06955608843019934,3,11
0.8153384344713743,11.08,0.5946427498927402,0.05366811822136645,2,12
0.8649499094171003,12.02,0.5473572873361603,0.04553721192480535,3,13
0.8158448778164624,11.2,0.916515138991168,0.08183170883849715,3,14
0.843895763032207,11.1,0.6403124237432849,0.05768580394083648,2,15
0.8448478505762054,11.24,0.6183849933496123,0.05501645848306159,2,16
0.8394252679641682,10.86,0.7213875518748574,0.06642610974906606,3,17
0.8216768244279551,10.42,0.6954135460285484,0.0667383441486131,3,18
0.8331216634488171,10.84,0.6118823416311342,0.056446710482576955,3,19
0.7972920913576079,10.58,0.8268010643437755,0.07814754861472359,3,20
0.7677753031943634,10.96,0.6311893535223799,0.057590269481968964,3,21
0.8124208422427357,11.36,0.8428523002282191,0.07419474473839957,3,22
0.7888450970078192,11.46,0.7269112738154498,0.0634303031252574,3,23
0.808998049793227,11.48,0.9431860898041277,0.08215906705610868,4,24
0.7988813992000596,10.38,0.6289674077406555,0.06059416259543887,3,25
0.8109541719632443,9.84,0.6740919818541087,0.06850528270875088,3,26
0.818236274201877,10.84,0.7578918128598566,0.06991621889851075,4,27
0.8204967598369433,10.68,0.6462197768561405,0.06050746974308432,3,28
0.8156233786353073,10.48,0.7547184905645282,0.07201512314547025,3,29
0.7986167585394166,11.28,0.8255906976220118,0.07319066468280247,3,30
0.7944939256166285,11.32,0.705407683541936,0.06231516639063038,3,31
0.8284345282638708,11.5,0.5744562646538028,0.049952718665548075,3,32
0.8240139856820303,11.56,0.8039900496896712,0.06954931225689197,4,33
0.7925585096044656,11.16,0.5043808085167397,0.04519541294952865,2,34
0.814812387929717,11.38,0.845931439302264,0.07433492436751002,4,35
0.8057773612615042,11.06,0.6135144660071187,0.05547147070588776,2,36
0.8137840029552015,11.82,0.5546169849544819,0.0469219107406499,2,37
0.7809123860451227,12.14,0.8946507698538017,0.07369446209668877,4,38
0.7861932410528338,12.34,0.8392854103342914,0.06801340440310304,3,39
0.7928539602459468,12.6,0.7483314773547883,0.05939138709164987,4,40
0.8177857581662337,12.48,0.8772684879784524,0.07029394935724778,5,41
0.8022226538903814,11.94,0.9035485598461214,0.07567408373920614,4,42
0.7951941751737804,11.48,0.5381449618829484,0.04687673883997808,2,43
0.7856164998637998,11.46,0.6390618123468182,0.055764556051205776,3,44
0.785841911274745,11.54,0.6696267617113282,0.05802658247065236,3,45
0.7777346888247489,10.8,0.6324555320336759,0.05856069741052554,3,46
0.7652293862085321,10.6,0.565685424949238,0.053366549523513024,3,47
0.7258802065878213,9.72,0.5670978751503131,0.05834340279324208,2,48
0.7746751766320283,9.18,0.589576118919347,0.06422397809578943,3,49
0.7736258103570356,10.78,1.1364858116140297,0.10542539996419571,4,50
0.8061715447328615,11.04,0.5642694391866353,0.05111136224516624,2,51
0.8345373962460964,10.8,0.7745966692414834,0.07172191381865586,4,52
0.8349811088365822,11.68,0.5810335618533581,0.04974602413128066,3,53
0.8199442597281055,13.1,0.8774964387392121,0.06698446097245894,4,54
0.8036950342519725,12.24,0.6499230723708769,0.05309829022637883,2,55
0.8131565996808855,12.68,0.8588364221433556,0.06773157903338767,4,56
0.8119201646838432,12.64,0.8428523002282191,0.06668135286615658,4,57
0.7993929689201412,12.24,0.9707728879609279,0.07931151045432418,5,58
0.7954364122337845,12.48,1.0047885349664376,0.08051190184025941,4,59
0.8308968443783703,11.3,0.9848857801796106,0.08715803364421332,3,60
0.8427871589284843,11.8,0.9591663046625439,0.08128528005614778,4,61
0.8495654203503145,11.22,0.7011419257183242,0.06249036771108059,3,62
0.8536921089891589,11.54,0.5730619512757761,0.04965874794417471,2,63
0.8345518165381164,11.66,0.7102112361825881,0.0609100545611139,3,64
0.8383588947705674,11.2,0.5291502622129182,0.047245559126153414,2,65
0.8406556645880098,11.36,0.5919459434779497,0.052107917559678675,3,66
0.8434057365341691,11.82,0.9097252332435328,0.07696490974987587,3,67
0.8423244884519883,12.06,0.8811356308764275,0.07306265595990277,4,68
0.8439350500427797,11.18,0.7400000000000001,0.06618962432915923,3,69
0.8277904950066143,11.96,0.7472616676907761,0.062480072549395985,2,70
0.8191502431945574,11.3,0.9000000000000001,0.07964601769911506,3,71
0.8169039978488579,11.38,0.6896375859826667,0.060600842353485646,3,72
0.78922760498416,12.14,0.8002499609497022,0.06591844818366575,3,73
0.8169668268168544,14.34,0.7102112361825881,0.04952658550785133,3,74
0.880864220952425,13.2,0.8,0.060606060606060615,3,75
